Review Sentence,Aspect term,polarity,from,to,Anger,Disgust,Fear,Joy,Sadness,Surprise,Emotion Class,emotion context words
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",songs,neutral,71,76,0,0,0,0,0,0,Anger,
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,negative,41,46,1,1,0,0,1,2,Surprise,"They did not have, forgot left outso over cooked"
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,negative,18,28,1,1,0,0,1,2,Surprise,They did not have forgot left out so over cooked
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,negative,126,131,1,1,0,0,1,2,Surprise,They did not have forgot left outso over cooked
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral,73,79,1,1,0,0,1,2,Surprise,They did not haveforgotleft outso over cooked
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,negative,57,68,1,1,0,0,1,2,Surprise,They did not have forgot left out so over cooked
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,neutral,170,175,1,1,0,0,1,2,Surprise,They did not haveforgotleft out so over cooked
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,neutral,86,92,1,1,0,0,1,2,Surprise,They did not have forgot left out
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,neutral,82,88,2,0,0,3,1,0,Joy,It took half an hour  was perfect
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,neutral,32,37,2,0,0,3,1,0,Joy,It took half an hourwas perfect
The design and atmosphere is just as good.,design,positive,4,10,0,0,0,3,0,1,Joy,just as good
The design and atmosphere is just as good.,atmosphere,positive,15,25,0,0,0,3,0,1,Joy,just as good
He has visited Thailand and is quite expert on the cuisine.,cuisine,positive,51,58,0,0,0,4,0,0,Joy,quite expert
The pizza is the best if you like thin crusted pizza.,pizza,positive,4,9,0,0,0,3,0,0,Joy,is the best if
The pizza is the best if you like thin crusted pizza.,thin crusted pizza,neutral,34,52,0,0,0,3,0,0,Joy,is the best
"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,positive,28,47,1,1,0,0,1,1,Anger,none of it
"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative,72,77,1,1,0,0,1,1,Anger,none of it
The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,negative,4,9,3,1,0,0,1,0,Anger,uncomfortable
"I asked for seltzer with lime, no ice.",seltzer with lime,neutral,12,29,1,2,0,0,1,0,Disgust,no
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,positive,77,84,1,3,1,0,2,0,Disgust,Don't go isn't enough
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,positive,91,122,1,3,1,0,2,0,Disgust,Don't go isn't enough
My suggestion is to eat family style because you'll want to try the other dishes.,dishes,neutral,74,80,0,1,0,1,0,0,Disgust,My suggestion
My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,positive,20,36,0,1,0,1,0,0,Disgust,My suggestion
"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,positive,24,28,0,0,0,4,0,0,Joy,Best of allwarmsuper friendlyis fast.
"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,positive,34,39,0,0,0,4,0,0,Joy,Best of allwarmsuper friendlyis fast
"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,62,69,0,0,0,4,0,0,Joy,Best of all warmsuper friendly  is fast.
Faan's got a great concept but a little rough on the delivery.,delivery,negative,53,61,0,0,0,4,0,0,Joy,a great
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,20,24,0,0,0,3,0,0,Joy,incrediblewarmfriendly
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,positive,38,48,0,0,0,3,0,0,Joy,incrediblewarmfriendly
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,66,73,0,0,0,3,0,0,Joy,incrediblewarmfriendly
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,6,10,0,0,0,4,0,0,Joy,Great food
"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,positive,25,31,0,0,0,4,0,0,Joy,Great food
this little place has a cute interior decor and affordable city prices.,interior deco,positive,29,42,0,0,0,3,0,0,Joy,cuteaffordable
this little place has a cute interior decor and affordable city prices.,prices,positive,64,70,0,0,0,3,0,0,Joy,cuteaffordable
Two words: Free wine.,wine,positive,16,20,0,0,0,0,0,0,Anger,
The price is reasonable although the service is poor.,price,positive,4,9,3,1,0,3,3,0,Anger,poor
The price is reasonable although the service is poor.,service,negative,37,44,3,1,0,3,3,0,Anger,reasonable
"The quantity is also very good, you will come out satisfied.",quantity,positive,4,12,0,0,0,4,0,0,Joy,very good
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,neutral,118,123,2,1,2,3,2,0,Joy,Being serious
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,neutral,146,155,2,1,2,3,2,0,Joy,I stumbled
The fried rice is amazing here.,fried rice,positive,4,14,0,0,0,3,0,0,Joy,amazing
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,positive,42,49,0,0,0,4,0,0,Joy,"excellent, delicious"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,positive,51,74,0,0,0,4,0,0,Joy,"excellent, delicious"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,positive,79,110,0,0,0,4,0,0,Joy,"excellent, delicious"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive,118,140,0,0,0,4,0,0,Joy,"excellent, delicious"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral,6,13,0,0,0,4,0,0,Joy,"excellent, delicious"
it's a perfect place to have a amanzing indian food.,indian food,positive,40,51,0,0,0,3,0,0,Joy,perfect
The place is so cool and the service is prompt and curtious.,service,positive,29,36,0,0,0,4,0,0,Joy,prompt and curtious.
The place is so cool and the service is prompt and curtious.,place,positive,4,9,0,0,0,4,0,0,Joy,prompt and curtious
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,positive,35,53,1,0,1,0,1,0,Anger,you're left
I just wonder how you can have such a delicious meal for such little money.,meal,positive,48,52,0,0,0,3,0,3,Joy,I just wonder
I just wonder how you can have such a delicious meal for such little money.,money,positive,69,74,0,0,0,3,0,3,Joy,I just wonder
The food was delicious but do not come here on a empty stomach.,food,conflict,4,8,0,0,0,3,3,0,Joy,but do not come here on a empty stomach.
The wine list is excellent.,wine list,positive,4,13,0,0,0,4,0,0,Joy,excellent
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,84,93,0,0,0,4,0,0,Joy,the best
They wouldnt even let me finish my glass of wine before offering another.,glass of wine,neutral,35,48,0,1,0,2,0,3,Surprise,even let me finish
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,neutral,75,83,1,1,0,0,1,2,Surprise,more detailed
This is a consistently great place to dine for lunch or dinner.,lunch,neutral,47,52,0,0,0,3,0,1,Joy,great
This is a consistently great place to dine for lunch or dinner.,dinner,neutral,56,62,0,0,0,3,0,1,Joy,great
This is a consistently great place to dine for lunch or dinner.,dine,positive,38,42,0,0,0,3,0,1,Joy,great
"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,positive,5,15,0,0,0,4,0,0,Joy,"Nice, very pleasant, good"
"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,21,28,0,0,0,4,0,0,Joy,"Nice, very pleasant, good"
"Nice atmosphere, the service was very pleasant and the desert was good.",desert,positive,55,61,0,0,0,4,0,0,Joy,"nice, very pleasant, good"
After really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,positive,39,42,0,0,0,4,0,0,Joy,really
After really enjoying ourselves at the bar we sat down at a table and had dinner.,table,neutral,60,65,0,0,0,4,0,0,Joy,really
After really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,neutral,74,80,0,0,0,4,0,0,Joy,really
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,9,16,0,0,0,3,0,0,Joy,"fabulous, fantastic, chilled"
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,28,32,0,0,0,3,0,0,Joy,"fabulous, fantastic, chilled"
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,positive,52,62,0,0,0,3,0,0,Joy,"fabulous, fantastic, chilled"
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,positive,67,78,0,0,0,3,0,0,Joy,"fabulous, fantastic, chilled"
Try the lasagnette appetizer.,lasagnette appetizer,positive,8,28,0,0,1,0,0,0,Fear,try the
I liked the beer selection!,beer selection,positive,12,26,0,0,0,3,0,0,Joy,liked
"Great food, good size menu, great service and an unpretensious setting.",food,positive,6,10,0,0,0,3,0,0,Joy,"great, good, great , unpretensious"
"Great food, good size menu, great service and an unpretensious setting.",menu,positive,22,26,0,0,0,3,0,0,Joy,"great,good,great,unpretensious"
"Great food, good size menu, great service and an unpretensious setting.",service,positive,34,41,0,0,0,3,0,0,Joy,"great,good,great,unpretensious"
"Great food, good size menu, great service and an unpretensious setting.",setting,positive,63,70,0,0,0,3,0,0,Joy,"great,good,great,unpretensious"
Go here for a romantic dinner but not for an all out wow dining experience.,dinner,positive,23,29,0,0,0,3,3,0,Joy,but not
Go here for a romantic dinner but not for an all out wow dining experience.,dining,positive,57,63,0,0,0,3,3,0,Joy,but not
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Dosa,neutral,17,21,0,0,0,0,3,2,Sadness,have yet
Wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,positive,0,19,0,0,0,3,0,0,Joy,"good, generously"
Wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,positive,32,49,0,0,0,3,0,0,Joy,"good, generously"
"With the great variety on the menu , I eat here often and never get bored .",menu,positive,30,34,0,0,0,3,0,0,Joy,great
The menu is very limited - i think we counted 4 or 5 entrees.,menu,negative,4,8,1,0,4,0,0,1,Fear,very limited
The menu is very limited - i think we counted 4 or 5 entrees.,entrees,negative,53,60,1,0,4,0,0,1,Fear,very limited
The menu is limited but almost all of the dishes are excellent.,menu,negative,4,8,0,0,3,4,0,0,Joy,limited
The menu is limited but almost all of the dishes are excellent.,dishes,positive,42,48,0,0,3,4,0,0,Joy,limited
Not too crazy about their sake martini.,sake martini,negative,26,38,2,1,4,0,2,0,Fear,crazy
"Great bagels, spreads and a good place to hang out in.",bagels,positive,6,12,0,0,0,3,0,0,Joy,"great, good"
"Great bagels, spreads and a good place to hang out in.",spreads,positive,14,21,0,0,0,3,0,0,Joy,"great, good"
"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict,4,11,0,0,0,4,0,0,Joy,very nice
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral,90,95,0,0,0,4,0,0,Joy,liked
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,19,23,0,0,0,4,0,0,Joy,outstanding
We always have a delicious meal and always leave feeling satisfied.,meal,positive,27,31,0,0,0,4,0,0,Joy,delicious
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,neutral,8,19,0,0,0,0,0,0,Anger,
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral,33,43,0,0,0,0,0,0,Anger,
First went here to enjoy their garden terrace.,garden terrace,positive,31,45,0,0,0,4,0,0,Joy,enjoy
The pizza was pretty good and huge.,pizza,positive,4,9,0,0,0,3,0,0,Joy,pretty good
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",cuisine,neutral,4,11,0,1,1,0,0,4,Surprise,very different
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,50,60,0,0,0,3,0,0,Joy,great
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,86,93,0,0,0,4,2,0,Joy,They are often
They are often crowded on the weekends but they are efficient and accurate with their service.,crowded,negative,15,22,0,0,1,4,2,0,Joy,efficient and accurate
All my co-workers were amazed at how small the dish was.,dish,negative,47,51,0,0,0,3,0,0,Joy,amazed
"The atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,positive,4,14,3,2,1,0,2,3,Anger,unheralded
"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,34,41,3,2,1,0,2,3,Anger,unheralded
"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,61,65,3,2,1,0,2,3,Anger,unheralded
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,negative,24,40,3,3,0,0,2,0,Anger,difficult to eat.
"The wait staff is friendly, and the food has gotten better and better!",wait staff,positive,4,14,0,0,0,3,0,0,Joy," is friendly,better and better"
"The wait staff is friendly, and the food has gotten better and better!",food,positive,36,40,0,0,0,3,0,0,Joy,is friendly better and better
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,positive,44,48,0,0,0,3,2,0,Joy,may be  goodbest
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,positive,76,87,0,0,0,3,2,0,Joy,may begoodbest
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",packed,negative,16,22,0,0,0,3,2,0,Joy,may be good  best
Right off the L in Brooklyn this is a nice cozy place with good pizza.,pizza,positive,64,69,0,0,0,3,0,0,Joy,nice  good
Right off the L in Brooklyn this is a nice cozy place with good pizza.,place,positive,48,53,0,0,0,3,0,0,Joy,nicegood
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive,25,41,0,0,0,3,0,2,Joy,outstanding
I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,19,27,1,0,1,0,1,1,Anger,I also ordered
I also ordered for delivery and the restaurant forgot half the order.,order,negative,63,68,1,0,1,0,1,1,Anger,I also ordered
Our server checked on us maybe twice during the entire meal.,server,negative,4,10,0,0,0,0,0,1,Surprise,checked on
Our server checked on us maybe twice during the entire meal.,meal,neutral,55,59,0,0,0,0,0,1,Surprise,checked on us
The strong scents coming from the left and right of me negatively affected my taste buds.,scents,negative,11,17,3,2,1,0,3,1,Anger,negatively affected
We had the lobster sandwich and it was FANTASTIC.,lobster sandwich,positive,11,27,0,0,0,4,0,0,Joy,FANTASTIC.
"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,negative,143,148,3,1,0,0,3,1,Anger,they hadn't
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Spider Roll,conflict,11,22,3,1,3,3,3,0,Anger,well worth
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,124,129,3,1,3,3,3,0,Anger,challenge to eathanging out well wort
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive,67,77,3,1,3,3,3,0,Anger,to eat well worth
Deep Fried Skewers are good and still rare to find in NYC.,Deep Fried Skewers,positive,0,18,0,0,0,3,0,1,Joy,good
"I have tried to make reservations, but both times, the hostess didn't have my name.",reservations,neutral,21,33,2,1,1,0,2,1,Anger,"I have tried, didn't have"
"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess,negative,55,62,2,1,1,0,2,1,Anger,"I have tried, didn't have"
I also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,positive,21,32,0,0,0,3,0,0,Joy,I also recommend the rice dishes or the different varieties of congee (rice porridge).
I also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),positive,63,85,0,0,0,3,0,0,Joy,I also
Their tuna tartar appetizer is to die for.,tuna tartar appetizer,positive,6,27,0,0,0,4,0,0,Joy,to die for
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Food,conflict,25,29,0,0,0,1,2,3,Surprise,often reaches
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,positive,114,118,0,0,0,1,2,3,Surprise," somewhat uneven, often rea most evident "
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,positive,186,197,0,0,0,1,2,3,Surprise," somewhat uneven, often reaches"
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,positive,202,207,0,0,0,1,2,3,Surprise,"somewhat uneven, often reaches"
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,positive,134,141,0,0,0,1,2,3,Surprise,"somewhat uneven, most evident "
"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,positive,104,111,0,0,0,1,2,3,Surprise,"somewhat uneven,  most evident"
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",wine,positive,12,16,0,0,0,3,0,0,Joy,love delicious
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",french fare,positive,42,53,0,0,0,3,0,0,Joy,love delicious
"If you love wine and cheese and delicious french fare, you'll love Artisanal!",cheese,positive,21,27,0,0,0,3,0,0,Joy,love expert
I love Indian food and consider myself to be quite an expert on it.,Indian food,positive,7,18,0,0,0,3,0,0,Joy,love expert
Some baby pizzas get their wish.,baby pizzas,neutral,5,16,0,0,0,3,0,0,Joy,wish
Overall A oh ya even though there is waiting it is deff worth it,waiting,negative,37,44,0,1,1,1,0,0,Disgust,worth it
The lava cake dessert was incredible and I recommend it.,lava cake dessert,positive,4,21,0,0,0,4,0,0,Joy,incredible and I recommend
VT is what baby pizzas hope to be when they grow up.,baby pizzas,neutral,11,22,0,0,0,1,0,0,Joy,hope to
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,negative,18,25,3,3,3,0,3,0,Anger,terrible bland unaccomodating horrible
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,negative,40,44,3,3,3,0,3,0,Anger,terrible bland unaccomodating horrible
"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,negative,81,89,3,3,3,0,3,0,Anger,terrible bland unaccomodating horrible
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,80,84,0,0,0,3,0,0,Joy,great really
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,food,positive,152,156,0,0,0,3,0,0,Joy,great really
The last time I went we were seated at a table in a corridor next to the kitchen.,table,negative,41,46,0,0,0,0,0,0,Anger,
good selection of wines ranging from affordable to high end.,selection of wines,positive,5,23,0,0,0,3,0,0,Joy,goodaffordable
"Nice restaurant overall, with classic upscale Italian decor.",Italian decor,positive,46,59,0,0,0,3,0,0,Joy,Nice classic
Not impressed with the food.,food,negative,23,27,3,3,1,0,3,1,Anger,Not impressed
The entire dining experience was wonderful!,dining experience,positive,11,28,0,0,0,4,0,0,Joy,wonderful
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,wine selection,positive,4,18,0,0,0,4,0,0,Joy,is wonderful and I always recommend
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral,101,112,0,0,0,4,0,0,Joy,is wonderful and I always recommend
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,positive,0,7,3,0,1,0,3,0,Anger,highly refined delayed apologized and regularly kept
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,positive,91,97,3,0,1,0,3,0,Anger,highly refined:delayedapologized and regularly kept
Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative,71,82,3,0,1,0,3,0,Anger,highly refined:delayedapologized and regularly kept
"Order the panang duck, it's fantastic.",panang duck,positive,10,21,0,0,0,4,0,0,Joy,it's fantastic.
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Food,conflict,0,4,0,0,0,4,0,3,Joy,very good I wondered
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",raw vegatables,negative,76,90,0,0,0,4,0,3,Joy," very good,wondered"
"Other than the crappy service from two individuals, it's great.",service,negative,22,29,0,0,0,4,0,0,Joy,it's great.
They have authentic Indian at amazin prices.,Indian,positive,20,26,0,0,0,4,0,0,Joy,authentic
They have authentic Indian at amazin prices.,prices,positive,37,43,0,0,0,4,0,0,Joy,authentic
Ambiance- relaxed and stylish.,Ambiance,positive,0,8,0,0,0,4,0,0,Joy,relaxed and stylish
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",BBQ Salmon,positive,30,40,0,0,0,3,0,1,Joy,Luckily
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Sea Bass,positive,42,50,0,0,0,3,0,1,Joy,Luckily
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",Crispy Duck,positive,55,66,0,0,0,3,0,1,Joy,Luckily
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,20,31,0,0,0,3,0,0,Joy,fancy fancy good right
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,positive,48,59,0,0,0,3,0,0,Joy,fancy fancy good right
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,negative,80,85,0,0,0,3,0,0,Joy,right.
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,neutral,122,127,0,0,0,3,0,0,Joy,right.
and yes Dal Bukhara is so dam good and so are all the kababs.,kababs,positive,54,60,0,0,0,4,0,0,Joy,dam good
and yes Dal Bukhara is so dam good and so are all the kababs.,Dal Bukhara,positive,8,19,0,0,0,4,0,0,Joy,dam good
I look forward to eating here again,eating,positive,18,24,0,0,0,2,0,0,Joy,I look forward
I've been coming here as a child and always come back for the taste.,taste,positive,62,67,0,0,0,2,0,0,Joy,been coming always come
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive,99,103,0,0,0,3,0,0,Joy,comfortable good
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,positive,114,119,0,0,0,3,0,0,Joy,comfortable good
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,positive,29,46,0,0,0,4,0,0,Joy,everything happy
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",mussels,positive,56,63,0,0,0,4,0,0,Joy,everything happy
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,positive,2,25,0,0,0,4,0,0,Joy,everything happy
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,neutral,0,4,0,0,0,3,0,0,Joy,average awful smelled
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,21,33,0,0,0,3,0,0,Joy,average awful smelled
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,negative,50,55,0,0,0,3,0,0,Joy,average awful smelled
The food always tastes fresh and served promptly.,food,positive,4,8,0,0,0,3,0,0,Joy,"fresh, promptly"
The food always tastes fresh and served promptly.,served,positive,33,39,0,0,0,3,0,0,Joy,"fresh, promptly"
The pizza here is delicious.,pizza,positive,4,9,0,0,0,4,0,0,Joy,delicious
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",Pizza,positive,0,5,0,0,0,4,0,0,Joy,"great, super quick"
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!",delivery,positive,80,88,0,0,0,4,0,0,Joy,"great, super quick"
